node_id,osm_node_id,lng,lat
181,42431898,-74.0115091,40.7029687
182,4207143421,-74.0114958,40.7229769
183,2565683767,-74.0114583,40.7189397
184,42436024,-74.0113646,40.7236291
185,2565699085,-74.0113584,40.7189272
186,42429565,-74.0113427,40.714904
187,246889572,-74.0112853,40.7252103
188,42445174,-74.0112346,40.7242763
189,42428371,-74.0112329,40.7082967
190,246889362,-74.0112014,40.7257225
191,42438155,-74.0111931,40.710369
192,42431902,-74.0111561,40.7017938
193,5812723033,-74.0111062,40.7156024
194,5200192560,-74.0111029,40.7035985
195,4207143435,-74.011087,40.7264727
196,4207143428,-74.0110507,40.7251813
197,42454401,-74.0109997,40.7133321
198,42428373,-74.0109934,40.7085817
199,42440854,-74.01093,40.7258067
200,42431617,-74.0109232,40.7163041
201,42442294,-74.0108723,40.7261761
202,4296895459,-74.0108704,40.7044574
203,42428374,-74.0108222,40.7087855
204,3790255302,-74.0107988,40.7018767
205,246857084,-74.0107672,40.7291341
206,5812723036,-74.010766,40.7169068
207,42453934,-74.0107608,40.7110079
208,4207143437,-74.0107244,40.7294675
209,42436313,-74.0106804,40.7215308
210,246890579,-74.0106787,40.7298427
211,42430519,-74.0106317,40.7174635
212,4207143436,-74.0106251,40.7283922
213,4207143439,-74.0106214,40.7304282
214,42430007,-74.0105666,40.7138543
215,42440916,-74.0105578,40.7222194
216,42448570,-74.0105554,40.7291112
217,42422042,-74.010521,40.7091439
218,42436050,-74.0104958,40.7181153
