edge_id,start_node_id,end_node_id,osm_start_node_id,osm_end_node_id,speed_mph_mean,speed_mph_stddev,dist_meter,time_sec_mean,time_sec_stddev
5904,3393,3369,42428737,42428728,19.81,7.17,78.46,8.86,3.21
5905,3393,3401,42428737,1061531802,12.94,5.35,17.84,3.09,1.28
5906,3394,3321,42431118,42437920,12.38,5.69,142.75,25.79,11.86
5907,3394,3371,42431118,42431116,21.61,6.22,79.09,8.19,2.36
5908,3394,3414,42431118,42421749,10.98,7.87,86.87,17.69,12.68
5909,3395,3379,4207124945,42436707,8.80,7.22,34.94,8.88,7.28
5910,3396,3325,596775930,42436511,6.09,3.30,145.17,53.34,28.92
5911,3396,3374,596775930,6177439752,11.90,8.11,79.21,14.89,10.15
5912,3397,3289,42438894,42438891,11.41,5.12,215.60,42.27,18.97
5913,3397,3376,42438894,42442949,14.23,6.77,79.48,12.49,5.95
5914,3398,3247,42443366,42442514,9.67,3.36,269.91,62.44,21.70
5915,3398,3388,42443366,4215936664,21.62,6.62,51.30,5.31,1.63
5916,3399,3341,42442549,1061531730,11.71,3.92,129.42,24.72,8.28
5917,3399,3419,42442549,42442552,20.55,6.02,83.34,9.07,2.66
5918,3400,3418,42449963,42448379,9.24,8.39,79.90,19.35,17.58
5919,3400,3518,42449963,42442957,7.50,5.18,215.30,64.19,44.32
5920,3401,3420,1061531802,1061531815,20.14,8.27,79.78,8.86,3.64
5921,3401,3472,1061531802,42442557,7.96,9.07,130.03,36.54,41.64
5922,3402,3383,42431671,42437423,15.13,9.76,80.09,11.84,7.64
5923,3402,3489,42431671,42431674,12.45,6.82,154.31,27.72,15.18
5924,3403,3423,42453000,42444055,16.66,7.00,81.41,10.93,4.59
5925,3404,3365,370922849,248708582,5.83,6.51,78.12,29.96,33.47
5926,3405,3705,2059304029,42433927,25.36,4.39,644.83,56.87,9.85
5927,3406,3396,42436514,596775930,12.02,7.28,21.32,3.97,2.40
5928,3406,3428,42436514,42459114,18.66,8.79,79.06,9.48,4.47
5929,3407,3343,42432548,595105538,16.99,13.77,136.87,18.02,14.61
5930,3407,3387,42432548,42426851,27.19,7.25,82.44,6.78,1.81
5931,3408,3430,42445972,42445976,12.56,8.44,79.07,14.09,9.46
5932,3408,3495,42445972,596776032,11.49,6.55,144.12,28.05,15.99
5933,3409,3393,42428742,42428737,12.71,10.53,80.66,14.20,11.76
5934,3410,3446,42441913,42441926,19.28,11.82,78.45,9.10,5.58
